pyIssue,pyGroup,pyName,pyLabel,CampaignName,OfferCode,OfferStatus,OfferStartDate,OfferExpireDate,NBAName,NBANumber,NBACategory,NBAType,OfferShortDescriptionEN,OfferShortDescriptionFR,OfferLongDescriptionEN,OfferLongDescriptionFr,PersistenceDays,RestPeriodDays,OfferCondition,IncentiveAmount,PS_CD,PrimaryProductServiceSubCode,RetailOrSmallBusiness,PrimaryProductServiceNameEN,OfferType,OfferClassification,OfferSubClassification,Prestaged,CreativeID,SOL,SMC,SSC,SIC,SSP,MOB,MMC,MIC,ABM,CSE,PrimaryProductFeaturesEN,PrimaryProductFeaturesFR,DCM,DHC,DMB,DPB,MCP,OfferName,SCP,MSP,CSA,DIA,ATC_NONPEGA,ATC_PEGA,EngagementType,CUSTOMER_RELEVANCE,EML,MOBSeed,SOLSeed,PMT,InteractionLevel,Level0InteractionCode,COP,AFILUAInsight,AFILUAInsightMax,AFILUAInsightMin,CCMinPmtInsight,CCMinPmtInsightMax,CCMinPmtInsightMin,ChannelSubgroup,ChqPurFreqFlashInsight,ChqPurFreqFlashInsightMax,ChqPurFreqFlashInsightMin,ChqPurFreqInsight,ChqPurFreqInsightMax,ChqPurFreqInsightMin,DepositSubgroup,InsuranceSubgroup,InvestmentSubgroup,LendingSubgroup,PaymentSubgroup,ProductGroup,ProductIndicator,ProductType,RelationshipSubgroup,TravelInsight,TravelInsightMax,TravelInsightMin,PrimaryProductServiceNameFR,BRN,BOT,CRM,BusinessGroup,BusinessOwner,CampaignCode,PEG,REB,RES,CRO,StartDate,EndDate,pyIsPropositionActive,PrimaryProductCode,PrimaryProductSubCode,PrimarySourceCode,Alt1ProductCode,Alt1ProductSubCode,Alt1SourceCode,Alt2ProductCode,Alt2ProductSubCode,Alt2SourceCode
Sales,Payment,4928,SB PA Acq - Passport Inf VISA for Bus,,4928,InMarket,10/25/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Preapproval for a Passport Inf VISA for business Visa,,"Preapproval for a Scotiabank Passport Visa Infinite Business Card or a ScotiaLine for business Visa Card, where the customer does not have either product.",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4659041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,SB PA Acq - Passport Inf VISA for Bus,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB18052,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4890,AMEX CLI + BT 1.99%/6MOS+2%Fee,,4890,InMarket,9/5/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,AMEX CLI + BT 1.99%/6MOS+2%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 1.99% with 2% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,TRUE,4890091901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 1.99% with 2% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,AMEX CLI + BT 1.99%/6MOS+2%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4889,VISA CLI + BT 1.99%/6MOS+2%Fee,,4889,InMarket,9/5/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,VISA CLI + BT 1.99%/6MOS+2%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 1.99% with 2% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Mandatory,NonContextual,TRUE,4889091901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 1.99% with 2% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,VISA CLI + BT 1.99%/6MOS+2%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4839,Amex Gold PA - 25k pts w/$1000 spend 3m,,4839,InMarket,8/1/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Amex Gold PA - 25k pts w/$1000 spend 3m,,"American Express Gold, 25k points w/1k spend in the 1st 3 months and 5k pts points with $10k spend in the first 12 months (one time) = Earn up to 30k",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,25000,AXG,GC,Retail,Scotiabank Gold Amex - Regular,Acquisition,Discretionary,NonContextual,TRUE,4037071701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Amex Gold PA - 25k pts w/$1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Amex,Product,Gold,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4706,AMEX CLI + BT 0.99%/6MOS+2%Fee,,4706,InMarket,4/18/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,AMEX CLI + BT 0.99%/6MOS+2%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 0.99% with 2% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,TRUE,4706041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 0.99% with 2% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,AMEX CLI + BT 0.99%/6MOS+2%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4705,VISA CLI + BT 0.99%/6MOS+2%Fee,,4705,InMarket,4/18/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,VISA CLI + BT 0.99%/6MOS+2%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 0.99% with 2% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,TRUE,4705041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 0.99% with 2% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,VISA CLI + BT 0.99%/6MOS+2%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4704,AMEX CLI + BT 0.00%/6MOS+3%Fee,,4704,InMarket,4/18/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,AMEX CLI + BT 0.00%/6MOS+3%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 0% with 3% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,TRUE,4704041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 0% with 3% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,AMEX CLI + BT 0.00%/6MOS+3%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4703,VISA CLI + BT 0.00%/6MOS+3%Fee,,4703,InMarket,4/18/2019,12/31/2050,Increase Borrowing Limit on Credit Cards,10,Payment NBA,Show My Customer,VISA CLI + BT 0.00%/6MOS+3%Fee,,Pre-Approved Credit Limit Increase and Balance Transfer 0% with 3% fee for 6 months,,30,150,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,TRUE,4703041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Credit Limit Increase and Balance Transfer 0% with 3% fee for 6 months,,FALSE,FALSE,FALSE,FALSE,FALSE,VISA CLI + BT 0.00%/6MOS+3%Fee,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Credit Card,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,VS19039,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4694,Mom Fee PA - 2.99% CABT w/0% BT 6m,,4694,InMarket,4/18/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Mom Fee PA - 2.99% CABT w/0% BT 6m,Mom Fee PA - 2.99% CABT w/0% BT 6m,Momentum Fee Visa 2.99% CABT w/0% BT fee for 6 months,Momentum Fee Visa 2.99% CABT w/0% BT fee for 6 months,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,2.99,VCL,RG,Retail,Scotia Momentum Fee VISA,Acquisition,Discretionary,NonContextual,TRUE,4694041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2% cash back on all eligible gas station, grocery store, drug store purchases and recurring payments","2% cash back on all eligible gas station, grocery store, drug store purchases and recurring payments",FALSE,FALSE,FALSE,FALSE,FALSE,Mom Fee PA - 2.99% CABT w/0% BT 6m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Momentum Fee,,FALSE,1,0.5,Scotia Momentum Fee VISA,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4652,Scene Visa - 2500 pts w $500 spend 3m,,4652,InMarket,2/19/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Scene Visa - 2500 pts w $500 spend 3m,TBD,"Scene Visa, 2,500 points with $500 spend in first 3mths of open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,2500,VCL,ZZ,Retail,SCENE VISA Card - Regular,Acquisition,Discretionary,NonContextual,TRUE,4151081701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No fee VISA card. Turn everyday purchases into great rewards like free movies & snacks. Earn 1 SCENE point for every $1 you spend on purchases and 5 points for every $1 you spend at participating Cineplex Entertainment theatres or online at cineplex.com,Carte VISA sans frais. Transformez vos achats en r�compenses (films et go�ters gratuits). Obtenez 1 point SC�NE pour chaque dollar d'achats et 5 point SC�NE pour chaque dollar d�pens� dans les cin�mas Cineplex participants ou en ligne � cineplex.com,FALSE,FALSE,FALSE,FALSE,FALSE,Scene Visa - 2500 pts w $500 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Scene,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,RS06008,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4641,Passport Visa Inf - 30k pts w/ $1000 spend 3m,,4641,InMarket,2/19/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Passport Visa Inf - 30k pts w/ $1000 spend 3m,TBD,"Passport Visa Inf - 30,000pts with $1000 spend first 3mths open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,30000,VFF,TR,Retail,Scotia Passport Visa Infinite VISA,Acquisition,Discretionary,NonContextual,TRUE,4353031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Passport Visa Inf - 30k pts w/ $1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4556,Momentum Infinite - AFW + 10% CB 3m,,4556,InMarket,10/31/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Momentum Infinite - AFW,,"Momentum Infinite, Annual fee waiver for the first year + 10% Cashback on purchases for the first 3months",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,0,VCL,DM,Retail,Scotia Momentum Infinite VISA,Acquisition,Discretionary,NonContextual,TRUE,4036071701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Earn up to 4% cash back,,FALSE,FALSE,FALSE,FALSE,FALSE,Momentum Infinite - AFW + 10% CB 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4356,Amex Gold - 15k pts w/$1000 spend 3m,,4356,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Amex Gold - 15k pts w/$1000 spend 3m,TBD,"American Express Gold, 15,000 pts with $1000 spend first 3mths open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,15000,AXG,GC,Retail,Scotiabank Gold Amex - Regular,Acquisition,Discretionary,NonContextual,TRUE,4037071701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Earn travel rewards up to 4x faster,TBD,FALSE,FALSE,FALSE,FALSE,FALSE,Amex Gold - 15k pts w/$1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Amex,Product,Gold,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4354,Amex Standard - 5K pts w/$500 spend 3m,,4354,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Amex Standard - 5K pts w/$500 spend 3m,TBD,Amex Standard - 5K pts w/$500 spend within 3 mths open date,TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,5000,VAX,SC,Retail,Scotiabank American Express Card,Acquisition,Discretionary,NonContextual,TRUE,4354031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Amex Standard - 5K pts w/$500 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Amex,Product,Standard,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4353,Passport Visa Inf - 25k pts w/ $1000 spend 3m,,4353,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Passport Visa Inf - 25k pts w/ $1000 spend 3m,TBD,"Passport Visa Inf - 25,000pts with $1000 spend first 3mths open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,25000,VFF,TR,Retail,Scotia Passport Visa Infinite VISA,Acquisition,Discretionary,NonContextual,TRUE,4353031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Passport Visa Inf - 25k pts w/ $1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4352,Passport Visa Inf Staff - AFW+25k pts w/ $1000 spend 3m,,4352,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Passport Visa Inf Staff - AFW+25k pts w/ $1000 spend 3m,TBD,"Passport Visa Inf Staff - AFW+25,000pts with $1000 spend first 3mths open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,25000,VFF,TS,Retail,Scotia Passport Visa Infinite VISA,Acquisition,Discretionary,NonContextual,TRUE,4352031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Passport Visa Inf Staff - AFW+25k pts w/ $1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4351,Momentum Infinite - AFW,,4351,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Momentum Infinite - AFW,TBD,"Momentum Infinite, Annual fee waiver for the first year",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,0,VCL,DM,Retail,Scotia Momentum Infinite VISA,Acquisition,Discretionary,NonContextual,TRUE,4036071701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Earn up to 4% cash back,TBD,FALSE,FALSE,FALSE,FALSE,FALSE,Momentum Infinite - AFW,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Credit Card,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4348,Scene Visa - 2k pts w $500 spend 3m,,4348,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Scene Visa - 2k pts w $500 spend 3m,TBD,"Scene Visa, 2,000 points with $500 spend in first 3mths of open date",TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,2000,VCL,ZZ,Retail,SCENE VISA Card - Regular,Acquisition,Discretionary,NonContextual,TRUE,4151081701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No fee VISA card. Turn everyday purchases into great rewards like free movies & snacks. Earn 1 SCENE point for every $1 you spend on purchases and 5 points for every $1 you spend at participating Cineplex Entertainment theatres or online at cineplex.com,Carte VISA sans frais. Transformez vos achats en r�compenses (films et go�ters gratuits). Obtenez 1 point SC�NE pour chaque dollar d'achats et 5 point SC�NE pour chaque dollar d�pens� dans les cin�mas Cineplex participants ou en ligne � cineplex.com,FALSE,FALSE,FALSE,FALSE,FALSE,Scene Visa - 2k pts w $500 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Scene,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,RS06008,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4226,Momentum No Fee Mastercard - 7.99% purchases 6m,,4226,InMarket,11/9/2017,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Momentum No Fee Mastercard - 7.99% purchases 6m,TBD,Momentum No Fee Mastercard - purchases 7.99% for 6 months,TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,7.99,STD,MC,Retail,Momentum No Fee Mastercard,Acquisition,Discretionary,NonContextual,TRUE,4226111701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Annual Fee. Plus earn cash back for everyday purchases.,No Annual Fee. Plus earn cash back for everyday purchases.,FALSE,FALSE,FALSE,FALSE,FALSE,Momentum No Fee Mastercard - 7.99% purchases 6m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,TRUE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Mastercard,Product,Momentum No Fee,,FALSE,1,0.5,Momentum No Fee Mastercard,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Sales,Payment,4225,Momentum No Fee Mastercard - 7.99% purchases 6m,,4225,InMarket,11/9/2017,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,Momentum No Fee Mastercard - 7.99% purchases 6m,TBD,Momentum No Fee Mastercard - purchases 7.99% for 6 months,TBD,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,7.99,STD,MC,Retail,Momentum No Fee Mastercard,Acquisition,Discretionary,NonContextual,TRUE,4225111701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Annual Fee. Plus earn cash back for everyday purchases.,No Annual Fee. Plus earn cash back for everyday purchases.,FALSE,FALSE,FALSE,FALSE,FALSE,Momentum No Fee Mastercard - 7.99% purchases 6m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,TRUE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Mastercard,Product,Momentum No Fee,,FALSE,1,0.5,Momentum No Fee Mastercard,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
